Where is;أين القوات;Fin kayna;فين كاينة
Congratulations;تهانينا;Mebrouk;مبروك
Can you help me?;هل يمكنك مساعدتي؟;Tqdr t3awenni?;تقدر تعاوني؟
Can you help me?;هل يمكنك مساعدتي؟;Tqdri t3awenini?;تقدري تعاونيني؟
I am looking for;انا ابحث عن;Kanqelleb 3la;كنقلب على
I can’t find; لم أجد;Ma lqitsh;ما لقيتش
Enough; كافيه;Safi;صافي
Slowly;بطء;Beshwia;بشوية
Faster;اسرع;Bezzerba;بالزربة
Maybe;ربما;Imken;إيمكن
Of course;طبعا;Tab3an;طبعا 
Of course;طبعا;Akid; أكيد
I have a problem.;لدي مشكله;3endi moshkila;عندي مشكلة
What do you think?;ماذا ترى؟;Ashno ban lik?;أشنو بان ليك؟
What did you say?;ماذا قلت؟;Ashno guelti?;أشنو ڭلتي؟
Must;یجب;katbghi;
Show;یظھر;khas;
I beg you;ارجوك;3afak;عافاك
Catch;امسك;khoud;خود
Argue;یتجادل;zgizzi;
Is running;یشغل;zigiz;
Dreaming;یحلم;werg;
What’s your name?;ما هو اسمك؟;Ashno smiytek?;أشنو سميتك؟
My name is…;اسمي هو…;Smiyti…;سميتي…
How old are you?;كم عمرك؟;She7al fe 3emrek?;شحال ف عمرك؟
I am … years old.;أنا ... سنة;3endi … 3am.;عندي… عام  
Where are you from?;من اين انت؟;Mnin nta?;منين نتا؟ -
Where are you from?;من اين انت؟;Mnin nti?;منين نتي؟ -
Do you work or study?;هل تعمل أم تدرس؟;Kheddam awla katqra?;خدام أولا كتقرا؟ -
Do you work or study?;هل تعمل أم تدرس؟;Hheddama awla katqray?;خدامة أولا كتقراي؟ -
I study.;أنا أدرس.;Kanqra.;كنقرا.
What do you study?;ماذا تدرس؟;Ash katqra?;أش كتقرا؟ -
What do you study?;ماذا تدرس؟; Ash katqray?;أش كتقراي؟ -
I study medicine.;انا ادرس الطب.;Kanqra tibb.;كنقرا الطب
I work.;أعمل.;Kankhdem.;كنخدم
Where do you work?;أين تعمل؟;Fin kheddam?;فين خدام؟ -
Where do you work?;أين تعمل؟; Fin kheddama?;فين خدامة؟ -
What’s your job?;ما هو عملك؟;Fash kheddam?;فاش خدام؟ -
What’s your job?;ما هو عملك؟;Fash kheddama?;فاش خدامة؟ -
Are you married?;هل انت متزوج؟;Mzewwej?;مزوج؟
Are you married?;هل انت متزوج؟;Mzewwja?;مزوجة؟
Yes, I am married.;نعم انا متزوج.;Ah, ana mzewwej.;آه، أنا مزوج
Yes, I am married.;نعم انا متزوج.;Ah, ana mzewwja;آه، أنا مزوجة 
No, I am not married.;لا، أنا لست متزوجا.;Lla, ana ma mzewwejsh.;لا، أنا ما مزوجش
No, I am not married.;لا، أنا لست متزوجا.;Lla, ana ma mzewwejash.;لا، أنا ما مزوجاش
Do you speak English?;هل تتكلم الإنجليزية؟;Katehder neglizia?;كتهضر النڭليزية؟
Do you speak English?;هل تتكلم الإنجليزية؟;Katehderi neglizia?;كتهضري النڭليزية؟
I speak a little Arabic.;انا اتكلم العربية قليلا;Kanehder shwia d l3erbia.;كنهضر شوية د العربية
Nice to meet you.;تشرفت بمقابلتك.;Metsherrfin.;متشرفين
Accounting;المحاسبة;Elmo7asaba;المحاسبة
Agriculture;الزراعة;Ezzira3a;الزراعة
Agriculture;الفلاحة;Elfila7a;الفلاحة
Anthropology;علم الإنسان;3ilm el2insan;علم الإنسان
Anthropology;أنثروبولوجيا;El2ontropolojia;أنثروبولوجيا
Archaeology;علم الآثار;3ilm el2atar;علم الآثار
Architecture and Design;الهندسة المعمارية والتصميم;Elhandasa elmi3maria w ettasmim;الهندسة المعمارية والتصميم
Business;إدارة الأعمال;Idarat el2a3mal;إدارة الأعمال
Chemistry;كيمياء;Elkimia2;كيمياء
Chemistry;كيمياء;Shimi;كيمياء
Computer sciences;علوم الحاسوب;3olom l7asoub / lanformatik;علوم الحاسوب
Earth sciences;علوم الأرض;3olom el2ard;علوم الأرض
Economics;اقتصاد;El2iqtisad;اقتصاد
Education;التعليم;Etta3lim;التعليم
Engineering;هندسة;Elhandasa;هندسة
Environmental studies;الدراسات البيئية;Eddirasat elbi2ia;الدراسات البيئية
Geography;جغرافية;Eljoghrafia;جغرافية
Health science;علوم الصحة;3olom essi77a;علوم الصحة
History;التاريخ;Ettarikh;التاريخ
Journalism;الصحافة;Essa7afa;الصحافة
Law;الحقوق;El7oqoq;الحقوق
Life sciences;علوم الحياة;3olom el7ayat;علوم الحياة
Linguistics;علم اللغة;3olom ellogha;علم اللغة
Linguistics;اللسانيات;Ellisaniat;اللسانيات
Literature;الأدب;El2adab;الأدب
Logic;المنطق;Elmantiq;المنطق
Mathematics;الرياضيات;Erriyadiat;الرياضيات
Mathematics;الرياضيات;Elmatt;الرياضيات
Medicine;الطب;Ettebb;الطب
Natural sciences;العلوم الطبيعية;El3olom ttabi3ia / Science;العلوم الطبيعية
Nursing;التمريض;Ettemrid;التمريض
Philosophy;الفلسفة;Elfelsafa;الفلسفة
Physics;العلوم الفيزيائية / الفيزياء;El3olom elfizya2ia / Elfizik;العلوم الفيزيائية / الفيزياء
Political science;العلوم السياسية;El3olom essiasia;العلوم السياسية
Psychology;علم النفس;3ilm ennafs;علم النفس
Social sciences;العلوم الاجتماعية;El3olom el2ijtima3ia;العلوم الاجتماعية
Sociology;علم الإجتماع;3ilm el2ijtima3;علم الإجتماع
Space science;علم الفضاء;3ilm elfada2;علم الفضاء
Statistics;الإحصاء;El2i7sa2;الإحصاء
Veterinary medicine;الطب البيطري;Ettebb elbaytari;الطب البيطري
Veterinary ;البيطري;elbaytari;البيطري
